order_id,customer_id,restaurant,price,quantity,delivery_time,expected_time
1,101,Dominos,100,1,20,25
2,102,KFC,150,2,23,27
3,103,McDonalds,200,1,26,29
4,104,PizzaHut,250,3,29,31
5,105,BurgerKing,300,2,32,33
6,106,Dominos,100,1,35,25
7,107,KFC,150,2,38,27
8,108,McDonalds,200,1,41,29
9,109,PizzaHut,250,3,44,31
10,110,BurgerKing,300,2,47,33
11,111,Dominos,100,1,20,25
12,112,KFC,150,2,23,27
13,113,McDonalds,200,1,26,29
14,114,PizzaHut,250,3,29,31
15,115,BurgerKing,300,2,32,33
16,116,Dominos,100,1,35,25
17,117,KFC,150,2,38,27
18,118,McDonalds,200,1,41,29
19,119,PizzaHut,250,3,44,31
20,120,BurgerKing,300,2,47,33
21,121,Dominos,100,1,20,25
22,122,KFC,150,2,23,27
23,123,McDonalds,200,1,26,29
24,124,PizzaHut,250,3,29,31
25,125,BurgerKing,300,2,32,33
26,126,Dominos,100,1,35,25
27,127,KFC,150,2,38,27
28,128,McDonalds,200,1,41,29
29,129,PizzaHut,250,3,44,31
30,130,BurgerKing,300,2,47,33
31,131,Dominos,100,1,20,25
32,132,KFC,150,2,23,27
33,133,McDonalds,200,1,26,29
34,134,PizzaHut,250,3,29,31
35,135,BurgerKing,300,2,32,33
36,136,Dominos,100,1,35,25
37,137,KFC,150,2,38,27
38,138,McDonalds,200,1,41,29
39,139,PizzaHut,250,3,44,31
40,140,BurgerKing,300,2,47,33
41,141,Dominos,100,1,20,25
42,142,KFC,150,2,23,27
43,143,McDonalds,200,1,26,29
44,144,PizzaHut,250,3,29,31
45,145,BurgerKing,300,2,32,33
46,146,Dominos,100,1,35,25
47,147,KFC,150,2,38,27
48,148,McDonalds,200,1,41,29
49,149,PizzaHut,250,3,44,31
50,150,BurgerKing,300,2,47,33
